hit_id	length	cysteine_content	e_value	query_accession	query_name
KAH6938954.1_rep4	863	0.02	0.037	PF02126.21	PTE
JAR92144.1	2338	0.03	4.4e-17	PF08477.16	Roc
KAH7968347.1	1379	0.02	3.6e-33	PF00089.29	Trypsin
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042900.1.p1_rep7	704	0.01	1.3	PF19532.2	TMEM131_like
KAH7937479.1	725	0.02	0.015	PF00326.24	Peptidase_S9
KAH8022499.1	696	0.02	0.52	PF00326.24	Peptidase_S9
KAH8039201.1	554	0.02	0.0071	PF03403.16	PAF-AH_p_II
KAH7935957.1_rep7	704	0.02	0.0035	PF02089.18	Palm_thioest
KAH7952433.1	1604	0.02	0.012	PF07819.16	PGAP1
KAG0421830.1_rep17	588	0.03	0.00042	PF02089.18	Palm_thioest
KAG0421830.1_rep7	638	0.03	1.3e-61	PF00151.22	Lipase
KAH7939380.1_rep2	925	0.01	0.0063	PF00326.24	Peptidase_S9
KAH7952433.1_rep4	1519	0.02	0.014	PF00326.24	Peptidase_S9
KAH8023459.1	638	0.02	0.00059	PF02022.22	Integrase_Zn
KAH8022699.1_rep4	713	0.01	0.61	PF18596.4	Sld7_C
KAG0417949.1	613	0.01	0.011	PF17464.5	Pns11_12
KAH8022699.1	510	0.02	5.3e-115	PF00135.31	COesterase
KAH8035284.1	545	0.03	0.0055	PF01477.26	PLAT
KAH8035284.1_rep8	713	0.03	0.3	PF00140.23	Sigma70_r1_2
JAR95007.1	1838	0.10	4.1e-08	PF00090.22	TSP_1
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01009335.1.p1	372	0.01	0.14	PF14523.9	Syntaxin_2
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01030193.1.p1_rep15	291	0.00	0.028	PF11068.11	YlqD
Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000363.1.p1_rep4	343	0.03	0.022	PF11068.11	YlqD
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01021613.1.p1_rep4	707	0.02	0.008	PF09548.13	Spore_III_AB
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01056051.1.p1_rep4	522	0.02	0.0059	PF09548.13	Spore_III_AB
Trove_AA_103502	1255	0.06	8.7e-10	PF00090.22	TSP_1
Trove_AA_85417	1426	0.08	1e-09	PF00090.22	TSP_1
Trove_AA_187315	1794	0.07	1.3e-09	PF00090.22	TSP_1
Trove_AA_17564_rep24	1054	0.05	0.00016	PF19030.3	TSP1_ADAMTS
KAH7934937.1_rep17	719	0.06	9e-05	PF19030.3	TSP1_ADAMTS
MCL6768345.1	644	0.02	0.0046	PF19056.3	WD40_2
