hit_id	pfam_query_accession	pfam_name
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01024984.1.p1	PF12698.10	ABC2_membrane_3
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000372.1.p1	PF12698.10	ABC2_membrane_3
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01029928.1.p1	PF00202.24	Aminotran_3
Scolopendra_viridis_GGNE01.transdecoder.pep_id_GGNE01000196.1.p1	PF03098.18	An_peroxidase
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000549.1.p1	PF03098.18	An_peroxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032844.1.p1	PF03098.18	An_peroxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032845.1.p1	PF03098.18	An_peroxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032846.1.p1	PF03098.18	An_peroxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032847.1.p1	PF03098.18	An_peroxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01032848.1.p1	PF03098.18	An_peroxidase
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01011653.1.p1	PF03098.18	An_peroxidase
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043148.1.p1	PF00047.28	ig
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043147.1.p1	PF00047.28	ig
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043150.1.p1	PF00047.28	ig
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043157.1.p1	PF00047.28	ig
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043146.1.p1	PF00047.28	ig
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01028390.1.p1	PF00047.28	ig
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010674.1.p1	PF00047.28	ig
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01010676.1.p1	PF00047.28	ig
