#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Pseudagkistrodon_rudis_GDKV01.transdecoder.pep_id_GDKV01024984.1.p1    -          ABC2_membrane_3      PF12698.10   2.2e-58  196.2  56.1   1.2e-43  147.8  15.7   3.9   4   1   0   4   4   4   3 -
Hemiscolopendra_marginata_GHBY01.transdecoder.pep_id_GHBY01000372.1.p1 -          ABC2_membrane_3      PF12698.10   1.2e-54  183.9  69.6   3.4e-39  133.2  26.5   2.6   2   1   0   2   2   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01024005.1.p1  -          ABC_membrane         PF00664.26    1e-131  436.8  21.6   4.5e-71  237.9   8.3   2.2   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01003069.1.p1     -          ABC_membrane         PF00664.26  1.5e-125  416.6  17.0     9e-64  214.0   6.1   2.1   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01009444.1.p1     -          ABC_membrane         PF00664.26  1.8e-125  416.4  17.0     1e-63  213.8   6.1   2.1   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01004213.1.p1     -          ABC_membrane         PF00664.26  1.8e-125  416.3  17.0     1e-63  213.8   6.1   2.2   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01012554.1.p1     -          ABC_membrane         PF00664.26  1.8e-125  416.3  17.0     1e-63  213.8   6.1   2.2   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024109.1.p1      -          ABC_membrane         PF00664.26  4.4e-124  411.8  15.6   9.3e-64  213.9   4.8   2.1   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024110.1.p1      -          ABC_membrane         PF00664.26  4.4e-124  411.8  15.6   9.3e-64  213.9   4.8   2.1   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024111.1.p1      -          ABC_membrane         PF00664.26  4.4e-124  411.8  15.6   9.3e-64  213.9   4.8   2.1   2   0   0   2   2   2   2 -
Boiga_irregularis_GBSH01_id_lcl|GBSH01000763.1_prot_JAG68262.1_1    -          ABC_membrane         PF00664.26   5.3e-97  323.0  44.4   2.6e-53  179.7  20.6   2.2   2   0   0   2   2   2   2 -
Crotalus_horridus_GBKC01_id_lcl|GBKC01000886.1_prot_JAG45184.1_1    -          ABC_membrane         PF00664.26   1.7e-96  321.3  44.7   5.9e-53  178.5  20.4   2.2   2   0   0   2   2   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01066945.1.p1  -          ABC_membrane         PF00664.26     6e-94  313.0  27.3   3.5e-54  182.5   3.8   2.7   3   1   0   3   3   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01008709.1.p1     -          ABC_membrane         PF00664.26     5e-90  300.1  26.9   2.5e-45  153.5  13.2   2.5   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042119.1.p1      -          ABC_membrane         PF00664.26   5.5e-86  286.9  32.8   3.3e-43  146.5  12.1   2.5   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042120.1.p1      -          ABC_membrane         PF00664.26   1.1e-82  276.0  31.7   5.4e-43  145.8  12.7   2.5   2   0   0   2   2   2   2 -
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01012576.1.p1 -          ABC_membrane         PF00664.26   5.9e-77  257.2  18.2   2.1e-44  150.4  10.0   2.1   2   0   0   2   2   2   2 -
Crotalus_horridus_GBKC01_id_lcl|GBKC01002230.1_prot_JAG43840.1_1    -          ABC_membrane         PF00664.26   1.3e-75  252.9  37.7   3.2e-46  156.4  14.2   2.2   2   0   0   2   2   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01050539.1.p1  -          ABC_membrane         PF00664.26   6.5e-75  250.5  39.3   4.1e-45  152.8  14.1   2.2   2   0   0   2   2   2   2 -
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01002121.1.p1     -          ABC_membrane         PF00664.26   3.4e-65  218.6   9.4   4.2e-65  218.3   9.4   1.0   1   0   0   1   1   1   1 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043858.1.p1      -          ABC_membrane         PF00664.26   9.5e-65  217.2  13.1   1.4e-64  216.6  13.1   1.3   1   0   0   1   1   1   1 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01020315.1.p1     -          ABC_membrane         PF00664.26   3.3e-64  215.4  12.8   4.3e-64  215.0  12.8   1.1   1   0   0   1   1   1   1 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01013135.1.p1  -          ABC_membrane         PF00664.26   6.2e-64  214.5   7.5     8e-64  214.2   7.5   1.1   1   0   0   1   1   1   1 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01007470.1.p1  -          ABC_membrane         PF00664.26   5.4e-63  211.4   7.4   7.8e-63  210.9   7.4   1.2   1   0   0   1   1   1   1 -
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01007471.1.p1  -          ABC_membrane         PF00664.26   5.4e-63  211.4   7.4   7.8e-63  210.9   7.4   1.2   1   0   0   1   1   1   1 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043859.1.p1      -          ABC_membrane         PF00664.26   1.8e-62  209.7  10.5   2.2e-62  209.5  10.5   1.1   1   0   0   1   1   1   1 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01003928.1.p1      -          ABC_membrane         PF00664.26   2.3e-62  209.4  43.1   2.1e-35  120.9  14.3   2.6   3   0   0   3   3   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01003927.1.p1      -          ABC_membrane         PF00664.26   2.4e-62  209.3  43.1   2.2e-35  120.9  14.3   2.6   3   0   0   3   3   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01005886.1.p1     -          ABC_membrane         PF00664.26   1.5e-61  206.7  36.4   3.6e-36  123.5  10.6   2.7   2   1   1   3   3   3   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01045578.1.p1      -          ABC_membrane         PF00664.26     3e-61  205.7  33.3   7.8e-36  122.4  14.3   2.7   2   1   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01002482.1.p1     -          ABC_membrane         PF00664.26   4.9e-61  205.0  31.8   3.1e-32  110.6   7.6   2.2   2   0   0   2   2   2   2 -
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01032227.1.p1     -          ABC_membrane         PF00664.26   5.1e-61  205.0  40.1   1.6e-32  111.5  12.2   3.0   2   1   1   3   3   3   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01036677.1.p1      -          ABC_membrane         PF00664.26   6.1e-60  201.4  37.8     4e-32  110.2  12.4   2.2   2   0   0   2   2   2   2 -
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042118.1.p1      -          ABC_membrane         PF00664.26   4.2e-58  195.4  22.8   3.1e-43  146.6  12.7   2.6   2   0   0   2   2   2   2 -
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01070639.1.p1  -          ABC_membrane         PF00664.26   5.5e-57  191.7   9.1   7.9e-57  191.2   9.1   1.2   1   0   0   1   1   1   1 -
