hit_id	length	cysteine_content	pfam_query_accession	pfam_query_name
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01024005.1.p1	1352	0.02	PF00005.30	ABC_tran
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01003069.1.p1	1247	0.01	PF00005.30	ABC_tran
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01009444.1.p1	1324	0.01	PF00005.30	ABC_tran
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01004213.1.p1	1345	0.01	PF00005.30	ABC_tran
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01012554.1.p1	1345	0.01	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024109.1.p1	1345	0.01	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024110.1.p1	1345	0.01	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01024111.1.p1	1345	0.01	PF00005.30	ABC_tran
Boiga_irregularis_GBSH01_id_lcl|GBSH01000763.1_prot_JAG68262.1_1	1479	0.01	PF00005.30	ABC_tran
Crotalus_horridus_GBKC01_id_lcl|GBKC01000886.1_prot_JAG45184.1_1	1464	0.01	PF00005.30	ABC_tran
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01066945.1.p1	1511	0.01	PF00664.26	ABC_membrane
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01008709.1.p1	1535	0.01	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042119.1.p1	1533	0.01	PF00005.30	ABC_tran
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01042120.1.p1	1533	0.01	PF00005.30	ABC_tran
Phoneutria_nigriventer_GFUY01.transdecoder.pep_id_GFUY01012576.1.p1	1130	0.01	PF00005.30	ABC_tran
Crotalus_horridus_GBKC01_id_lcl|GBKC01002230.1_prot_JAG43840.1_1	1333	0.01	PF00005.30	ABC_tran
Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01050539.1.p1	1201	0.01	PF00664.26	ABC_membrane
Psyttalia_concolor_GCDX01.transdecoder.pep_id_GCDX01002121.1.p1	376	0.01	PF00664.26	ABC_membrane
Ampulex_compressa_GFCP01.transdecoder.pep_id_GFCP01043858.1.p1	676	0.02	PF00664.26	ABC_membrane
Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01020315.1.p1	604	0.01	PF00664.26	ABC_membrane
Microplitis_demolitor_GANH01.transdecoder.pep_id_GANH01013135.1.p1	656	0.01	PF00664.26	ABC_membrane
