Hadrurus_spadix_GFAH01_id_lcl|GFAH01000031.1_prot_JAV48358.1_1	Hadrurus_spadix_GFAH01_id_lcl|GFAH01000031.1_prot_JAV48358.1_1
Hadrurus_spadix_GFAH01_id_lcl|GFAH01000031.1_prot_JAV48358.1_1_rep2	Hadrurus_spadix_GFAH01_id_lcl|GFAH01000031.1_prot_JAV48358.1_1_rep2
Dendroaspis_viridis_GHPC01.transdecoder.pep_id_GHPC01000014.1.p1_rep11	Dendroaspis_viridis_GHPC01.transdecoder.pep_id_GHPC01000014.1.p1_rep11
Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000144.1.p1	Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000144.1.p1
Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000144.1.p1_rep8	Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000144.1.p1_rep8
Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000144.1.p1_rep19	Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000144.1.p1_rep19
Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000568.1.p1_rep20	Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000568.1.p1_rep20
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000748.1.p1	Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000748.1.p1
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep5	Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep5
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep5	Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep5	Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep2
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep5	Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep3
Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep5	Scolopocryptops_sexspinosus_GHBZ01.transdecoder.pep_id_GHBZ01000948.1.p1_rep4
