hit_id	length	cysteine_content	e_value	query_accession	query_name
GCA_013339685.2_BIME_Hyas_1.3_id_KAH6938954.1_rep4	863	0.02	0.037	PF02126.21	PTE
All_sequences_Mulenga2020_id_tr|G1T9Z5|G1T9Z5_RABIT_rep4	309	0.05	2.2e-08	PF13445.9	zf-RING_UBOX
Trove_Mulenga_NCBI_Ambl-Am_AA_id_Trove_AA_22311	424	0.01	0.45	PF06156.16	YabA
GCA_013339745.2_BIME_Dsil_1.4_id_KAH7937479.1	725	0.02	0.016	PF00326.24	Peptidase_S9
GCA_013339725.1_BIME_Rmic_1.3_id_KAH8022499.1	696	0.02	0.53	PF00326.24	Peptidase_S9
GCA_013339725.1_BIME_Rmic_1.3_id_KAH8039201.1	554	0.02	0.0072	PF03403.16	PAF-AH_p_II
GCA_013339695.2_BIME_Rsan_1.4_id_KAH7935957.1_rep7	704	0.02	0.0035	PF02089.18	Palm_thioest
GCA_013339725.1_BIME_Rmic_1.3_id_KAH8035285.1	545	0.03	5.8e-33	PF00151.22	Lipase
GCA_013339725.1_BIME_Rmic_1.3_id_KAH8035285.1_rep3	683	0.04	2.7e-38	PF00151.22	Lipase
GCA_013358835.2_BIME_Iper_1.3_id_KAG0421830.1_rep17	588	0.03	0.00042	PF02089.18	Palm_thioest
GCA_013358835.2_BIME_Iper_1.3_id_KAG0421830.1_rep7	638	0.03	1.3e-61	PF00151.22	Lipase
GCA_013339695.2_BIME_Rsan_1.4_id_KAH7939380.1_rep2	925	0.01	0.0064	PF00326.24	Peptidase_S9
GCA_013339685.2_BIME_Hyas_1.3_id_KAH6923671.1_rep2	552	0.01	0.0071	PF01048.23	PNP_UDP_1
GCA_013339725.1_BIME_Rmic_1.3_id_KAH8035284.1	545	0.03	0.0056	PF01477.26	PLAT
GCA_013339725.1_BIME_Rmic_1.3_id_KAH8035284.1_rep8	713	0.03	0.3	PF00140.23	Sigma70_r1_2
GEGO01P.1_id_JAR95007.1	1838	0.10	4.1e-08	PF00090.22	TSP_1
Latrodectus_tredecimguttatus_GANL01.transdecoder.pep_id_GANL01009335.1.p1	372	0.01	0.14	PF14523.9	Syntaxin_2
All_sequences_Mulenga2020_id_tr|G1TW43|G1TW43_RABIT	2177	0.04	0.00013	PF16656.8	Pur_ac_phosph_N
All_sequences_Mulenga2020_id_tr|G1SZM2|G1SZM2_RABIT_rep4	718	0.02	0.0098	PF09548.13	Spore_III_AB
GCA_013339745.2_BIME_Dsil_1.4_id_KAH7974686.1	585	0.03	3.2e-05	PF01421.22	Reprolysin
GCA_013358835.2_BIME_Iper_1.3_id_KAG0425547.1_rep10	3064	0.08	5.8e-06	PF07686.20	V-set
GHJT01P.1_id_MOY41961.1	2372	0.09	4.4e-06	PF07686.20	V-set
