Species,Cat,protein_id,toxin_hit,accession_hit_description,Toxin_hit_cat
Glycera tridactyla,Bloodworm,Glycera_tridactyla_GART01.transdecoder.pep_id_GART01000948.1.p1,B1P1J3,Cystatin-1 (Cystatin JZTX-75),Cysteine protease inhibitor
Agkistrodon conanti,Snake,Agkistrodon_conanti_GDAZ01_id_lcl|GDAZ01000153.1_prot_JAS04400.1_1,B3EWP2,Hyaluronidase CdtHya1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Hyaluronidase
Agkistrodon conanti,Snake,Agkistrodon_conanti_GDAZ01_id_lcl|GDAZ01000017.1_prot_JAS04536.1_1,P0DJL4,Snaclec VP12 subunit A,Lectin
Agkistrodon conanti,Snake,Agkistrodon_conanti_GJUI01.transdecoder.pep_id_GJUI01000034.1.p1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Agkistrodon conanti,Snake,Agkistrodon_conanti_GDAZ01_id_lcl|GDAZ01000064.1_prot_JAS04489.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Agkistrodon conanti,Snake,Agkistrodon_conanti_GDAZ01_id_lcl|GDAZ01000065.1_prot_JAS04488.1_1,P0DUN4,Acidic phospholipase A2 braziliase-II (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),Phospholipase
Agkistrodon conanti,Snake,Agkistrodon_conanti_GDAZ01_id_lcl|GDAZ01000147.1_prot_JAS04406.1_1,P0DJG3,Thrombin-like enzyme TLBan (SVTLE TLBan) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP),Serine protease
Agkistrodon conanti,Snake,Agkistrodon_conanti_GJUI01.transdecoder.pep_id_GJUI01000037.1.p1,P0DJG3,Thrombin-like enzyme TLBan (SVTLE TLBan) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP),Serine protease
Agkistrodon contortrix,Snake,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02002911.1_prot_JAV48556.1_1,P0DL42,Snake venom vascular endothelial growth factor toxin VR-1' (svVEGF) (VEGF-F),Endothelial growth factor
Agkistrodon contortrix,Snake,Agkistrodon_contortrix_contortrix_GDAY02_id_lcl|GDAY02002453.1_prot_JAV51427.1_1,P0DJG3,Thrombin-like enzyme TLBan (SVTLE TLBan) (EC 3.4.21.-) (Fibrinogen-clotting enzyme) (Snake venom serine protease) (SVSP),Serine protease
