Clust_Ref,Clust_Seq,Seq_o,Rep_nb,Species,Clust_o,Clust_od
MAA11563.1_rep2,Aam-158571,Aam-158571,0,Amblyomma americanum,W4VSH9,Kunitz-type U19-barytoxin-Tl1a (U19-BATX-Tl1a) (Kunitz-type serine protease inhibitor Kunitz-1)
MAA11563.1_rep2,Aam-158571_rep2,Aam-158571,2,Amblyomma americanum,W4VSH9,Kunitz-type U19-barytoxin-Tl1a (U19-BATX-Tl1a) (Kunitz-type serine protease inhibitor Kunitz-1)
MAA11563.1_rep2,Aam-158571_rep7,Aam-158571,7,Amblyomma americanum,W4VSH9,Kunitz-type U19-barytoxin-Tl1a (U19-BATX-Tl1a) (Kunitz-type serine protease inhibitor Kunitz-1)
Aam-29733,Aam-29733,Aam-29733,0,Amblyomma americanum,P0DQG7,U-scoloptoxin(16)-Er13a (U-SLPTX(16)-Er13a)
Trove_AA_173453_rep2,Aam-436547,Aam-436547,0,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173454_rep24,Aam-436547_rep10,Aam-436547,10,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173453_rep2,Aam-436547_rep11,Aam-436547,0,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173453_rep2,Aam-436547_rep12,Aam-436547,12,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173454_rep24,Aam-436547_rep14,Aam-436547,14,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173454_rep24,Aam-436547_rep15,Aam-436547,15,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173454_rep24,Aam-436547_rep16,Aam-436547,16,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173454_rep24,Aam-436547_rep17,Aam-436547,17,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173454_rep24,Aam-436547_rep18,Aam-436547,18,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173453_rep2,Aam-436547_rep2,Aam-436547,2,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173454_rep24,Aam-436547_rep22,Aam-436547,22,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173453_rep2,Aam-436547_rep3,Aam-436547,3,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173453_rep2,Aam-436547_rep4,Aam-436547,4,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173453_rep2,Aam-436547_rep6,Aam-436547,6,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173454_rep24,Aam-436547_rep8,Aam-436547,8,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Trove_AA_173453_rep2,Aam-436547_rep9,Aam-436547,9,Amblyomma americanum,A0A6P8HC43,Actinia tenebrosa protease inhibitors (Carboxypeptidase inhibitor SmCI-like) [Cleaved into: ATPI-I; ATPI-II]
Aam-471922_rep9,Aam-471922,Aam-471922,0,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep17,Aam-471922,17,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep18,Aam-471922,18,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep19,Aam-471922,19,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep20,Aam-471922,20,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep21,Aam-471922,21,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep3,Aam-471922,3,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep4,Aam-471922,4,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
Aam-471922_rep9,Aam-471922_rep5,Aam-471922,5,Amblyomma americanum,Q6T269,Kunitz-type serine protease inhibitor bitisilin-3 (Two-Kunitz protease inhibitor)
